Unnamed: 0,Title,Rating,Votes,Duration,Genre
0,1. Kraven the Hunter,5.5, (50K),2h 7m,Action
1,2. Twisters,6.5, (164K),2h 2m,Action
2,3. Gladiator II,6.5, (222K),2h 28m,Action
3,4. Sonic the Hedgehog 3,6.9, (55K),1h 50m,Action
4,5. Venom: The Last Dance,6.0, (112K),1h 50m,Action
5,6. Deadpool & Wolverine,7.6, (485K),2h 8m,Action
6,7. Dune: Part Two,8.5, (618K),2h 46m,Action
7,8. Pushpa: The Rule - Part 2,6.1, (55K),3h 21m,Action
8,9. Solo Leveling: ReAwakening,8.9, (10K),2h 1m,Action
9,10. The Ministry of Ungentlemanly Warfare,6.8, (133K),2h 2m,Action
10,11. Furiosa: A Mad Max Saga,7.5, (282K),2h 28m,Action
11,12. The Beekeeper,6.3, (154K),1h 45m,Action
12,13. Civil War,7.0, (234K),1h 49m,Action
13,14. Borderlands,4.7, (47K),1h 41m,Action
14,15. Hellboy: The Crooked Man,4.5, (13K),1h 39m,Action
15,16. The Fall Guy,6.8, (218K),2h 6m,Action
16,17. Carry-On,6.5, (162K),1h 59m,Action
17,18. The Lord of the Rings: The War of the Rohirrim,6.3, (29K),2h 14m,Action
18,19. Elevation,5.6, (21K),1h 31m,Action
19,20. The Count of Monte-Cristo,7.6, (33K),2h 58m,Action
20,21. Transformers One,7.6, (48K),1h 44m,Action
21,22. William Tell,5.7, (2.1K),2h 13m,Action
22,23. The Crow,4.7, (33K),1h 51m,Action
23,24. Madame Web,4.0, (100K),1h 56m,Action
24,25. Road House,6.2, (166K),2h 1m,Action
25,26. Rebel Ridge,6.8, (87K),2h 11m,Action
26,27. Damsel,6.1, (109K),1h 50m,Action
27,28. Red One,6.3, (138K),2h 3m,Action
28,29. Argylle,5.6, (92K),2h 19m,Action
29,30. Bad Boys: Ride or Die,6.5, (99K),1h 55m,Action
30,31. Marco,6.9, (21K),2h 25m,Action
31,32. Kingdom of the Planet of the Apes,6.9, (150K),2h 25m,Action
32,33. Freaky Tales,6.4, (418),1h 46m,Action
33,34. Godzilla x Kong: The New Empire,6.1, (120K),1h 55m,Action
34,35. Love Lies Bleeding,6.6, (56K),1h 44m,Action
35,36. The Killer's Game,5.8, (17K),1h 44m,Action
36,37. Homestead,5.3, (3.4K),1h 52m,Action
37,38. Land of Bad,6.6, (51K),1h 53m,Action
38,39. Old Guy,5.2, (2K),1h 34m,Action
39,40. Uglies,4.7, (32K),1h 40m,Action
40,41. Aftermath,5.1, (3.7K),1h 37m,Action
41,42. Thelma,7.0, (22K),1h 38m,Action
42,43. Monkey Man,6.8, (91K),2h 1m,Action
43,44. Dirty Angels,4.3, (3.3K),1h 44m,Action
44,45. Baby Invasion,4.7, (354),1h 20m,Action
45,46. Blitz,6.2, (16K),2h,Action
46,47. Attack on Titan the Movie: The Last Attack,9.2, (15K),2h 25m,Action
47,48. The Union,5.4, (52K),1h 47m,Action
48,49. Kung Fu Panda 4,6.3, (67K),1h 34m,Action
49,50. Arcadian,5.5, (23K),1h 32m,Action
50,51. Drive-Away Dolls,5.4, (23K),1h 24m,Action
51,52. The Instigators,6.2, (37K),1h 41m,Action
52,53. The Killer,5.7, (12K),2h 6m,Action
53,54. Brothers,5.4, (13K),1h 29m,Action
54,55. Lift,5.5, (49K),1h 47m,Action
55,56. Werewolves,4.4, (6.2K),1h 33m,Action
56,57. Azrael,5.4, (10K),1h 26m,Action
57,58. Maharaja,8.4, (66K),2h 21m,Action
58,59. Long Gone Heroes,5.2, (1K),1h 41m,Action
59,60. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,Action
60,61. Beverly Hills Cop: Axel F,6.4, (81K),1h 58m,Action
61,62. Twilight of the Warriors: Walled In,7.0, (9.2K),2h 6m,Action
