Unnamed: 0,Title,Rating,Votes,Duration,Genre
0,1. Mufasa: The Lion King,6.6, (55K),1h 58m,Adventure
1,2. Moana 2,6.6, (96K),1h 40m,Adventure
2,3. Flow,7.9, (67K),1h 25m,Adventure
3,4. Twisters,6.5, (164K),2h 2m,Adventure
4,5. Gladiator II,6.5, (222K),2h 28m,Adventure
5,6. Sonic the Hedgehog 3,6.9, (55K),1h 50m,Adventure
6,7. Venom: The Last Dance,6.0, (112K),1h 50m,Adventure
7,8. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (3.4K),1h 31m,Adventure
8,9. Deadpool & Wolverine,7.6, (485K),2h 8m,Adventure
9,10. Dune: Part Two,8.5, (618K),2h 46m,Adventure
10,11. Solo Leveling: ReAwakening,8.9, (10K),2h 1m,Adventure
11,12. Furiosa: A Mad Max Saga,7.5, (282K),2h 28m,Adventure
12,13. Paddington in Peru,6.7, (19K),1h 46m,Adventure
13,14. Borderlands,4.7, (47K),1h 41m,Adventure
14,15. The Lord of the Rings: The War of the Rohirrim,6.3, (29K),2h 14m,Adventure
15,16. The Count of Monte-Cristo,7.6, (33K),2h 58m,Adventure
16,17. Despicable Me 4,6.2, (64K),1h 34m,Adventure
17,18. Transformers One,7.6, (48K),1h 44m,Adventure
18,19. Inside Out 2,7.5, (214K),1h 36m,Adventure
19,20. The Return,6.2, (7.8K),1h 56m,Adventure
20,21. Madame Web,4.0, (100K),1h 56m,Adventure
21,22. Damsel,6.1, (109K),1h 50m,Adventure
22,23. Red One,6.3, (138K),2h 3m,Adventure
23,24. Bad Boys: Ride or Die,6.5, (99K),1h 55m,Adventure
24,25. Kingdom of the Planet of the Apes,6.9, (150K),2h 25m,Adventure
25,26. Freaky Tales,6.4, (425),1h 46m,Adventure
26,27. Godzilla x Kong: The New Empire,6.1, (120K),1h 55m,Adventure
27,28. Love Lies Bleeding,6.6, (56K),1h 44m,Adventure
28,29. Ghostbusters: Frozen Empire,6.1, (93K),1h 55m,Adventure
29,30. Uglies,4.7, (32K),1h 40m,Adventure
30,31. Attack on Titan the Movie: The Last Attack,9.2, (15K),2h 25m,Adventure
31,32. Spellbound,5.6, (7K),1h 49m,Adventure
32,33. Spaceman,5.7, (43K),1h 47m,Adventure
33,34. Kung Fu Panda 4,6.3, (67K),1h 34m,Adventure
34,35. Wallace & Gromit: Vengeance Most Fowl,7.5, (34K),1h 22m,Adventure
35,36. Harold and the Purple Crayon,5.7, (8.1K),1h 30m,Adventure
36,37. The Garfield Movie,5.7, (24K),1h 41m,Adventure
37,38. Descendants: The Rise of Red,4.7, (7K),1h 31m,Adventure
38,39. Survive,4.6, (2.2K),1h 30m,Adventure
39,40. Chuck Billy and the Marvelous Guava Tree,7.5, (833),1h 30m,Adventure
40,41. Atlas,5.6, (56K),1h 58m,Adventure
41,42. Arthur the King,7.0, (34K),1h 47m,Adventure
42,43. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Adventure
43,44. My Penguin Friend,6.7, (4.9K),1h 37m,Adventure
44,45. Monster Summer,5.7, (3.6K),1h 37m,Adventure
45,46. Winner,6.5, (2.4K),1h 43m,Adventure
46,47. Night of the Zoopocalypse,6.3, (380),1h 31m,Adventure
47,48. Hitpig,5.1, (890),1h 26m,Adventure
48,49. Kalki 2898 AD,7.0, (66K),3h,Adventure
49,50. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Adventure
50,51. The Unholy Trinity,7.9, (49),1h 33m,Adventure
51,52. Raqa,5.7, (163),1h 47m,Adventure
52,53. No Way Up,4.6, (10K),1h 30m,Adventure
53,54. Orion and the Dark,6.3, (17K),1h 33m,Adventure
54,55. Family Pack,5.5, (8.8K),1h 34m,Adventure
55,56. Lost on a Mountain in Maine,6.1, (1.2K),1h 38m,Adventure
56,57. Overlord: The Sacred Kingdom,7.0, (816),2h 15m,Adventure
57,58. Thelma the Unicorn,5.7, (2.9K),1h 33m,Adventure
58,59. Bookworm,6.0, (1.8K),1h 43m,Adventure
59,60. Buffalo Kids,6.6, (660),1h 33m,Adventure
60,61. Hanu Man,7.7, (29K),2h 38m,Adventure
61,62. River of Blood,5.3, (1.7K),1h 26m,Adventure
62,63. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.4K),1h 33m,Adventure
63,64. Anaconda,4.9, (612),1h 24m,Adventure
64,65. Sasquatch Sunset,5.4, (5.4K),1h 28m,Adventure
65,66. The Best Christmas Pageant Ever,6.8, (6K),1h 39m,Adventure
66,"67. I, the Executioner",6.3, (1.7K),1h 58m,Adventure
67,68. Something in the Water,4.1, (4.6K),1h 26m,Adventure
68,69. The Wages of Fear,4.6, (4.1K),1h 44m,Adventure
69,70. Noah's Ark,4.3, (636),1h 36m,Adventure
70,71. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m,Adventure
71,72. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m,Adventure
72,73. A Sloth Story,5.6, (196),1h 30m,Adventure
73,74. The Price of Money: A Largo Winch Adventure,5.0, (1.1K),1h 40m,Adventure
74,75. Escape,6.4, (2K),1h 34m,Adventure
75,76. Badland Hunters,5.9, (12K),1h 47m,Adventure
76,77. One Million Babes BC,2.2, (76),1h 15m,Adventure
77,78. Bade Miyan Chote Miyan,3.7, (39K),2h 43m,Adventure
78,79. My Hero Academia: You're Next,7.0, (2K),1h 50m,Adventure
79,80. That Christmas,6.8, (17K),1h 31m,Adventure
80,81. The Empire,5.2, (1.2K),1h 50m,Adventure
81,82. Ultraman: Rising,6.9, (6.3K),1h 57m,Adventure
82,83. The Courier,6.0, (4.4K),1h 41m,Adventure
83,84. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.5K),1h 55m,Adventure
84,85. The Twisters,2.6, (320),1h 26m,Adventure
85,86. The Firing Squad,5.4, (5K),1h 33m,Adventure
86,87. The Tiger's Apprentice,5.7, (2.1K),1h 24m,Adventure
87,88. Cult Killer,4.8, (2.7K),1h 45m,Adventure
88,89. A Legend,4.7, (874),2h 9m,Adventure
89,90. The Goat Life,7.1, (47K),2h 53m,Adventure
90,92. Operation Blood Hunt,3.5, (469),1h 33m,Adventure
91,93. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Adventure
92,94. Lumina,2.1, (656),1h 53m,Adventure
93,95. Manjummel Boys,8.2, (27K),2h 15m,Adventure
94,96. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,Adventure
95,97. The Last Ronin,4.8, (557),1h 55m,Adventure
96,98. Autumn and the Black Jaguar,5.6, (984),1h 40m,Adventure
97,99. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.3K),1h 34m,Adventure
98,100. Bambi: A Tale of Life in the Woods,5.7, (158),1h 18m,Adventure
99,101. Sixty Minutes,5.7, (5.1K),1h 28m,Adventure
100,102. Guest from the Future,6.0, (1.2K),2h 21m,Adventure
101,103. Unspeakable: Beyond the Wall of Sleep,5.6, (41),1h 30m,Adventure
102,104. Dragonkeeper,5.7, (1.6K),1h 38m,Adventure
103,105. The Lost Tiger,7.8, (43),1h 30m,Adventure
104,106. Golden Kamuy,6.3, (2.5K),2h 7m,Adventure
105,107. Saint-Exupéry,5.5, (248),1h 38m,Adventure
106,108. The Last Redemption,6.7, (3.4K),2h 2m,Adventure
107,109. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.4K),1h 44m,Adventure
108,110. No Chains No Masters,6.4, (494),1h 38m,Adventure
109,112. Crayon Shin-chan: Ora's Dinosaur Diary,6.5, (329),1h 46m,Adventure
