Unnamed: 0,Title,Rating,Votes,Duration,Genre
0,1. Mufasa: The Lion King,6.6, (55K),1h 58m,Animation
1,2. Moana 2,6.6, (96K),1h 40m,Animation
2,3. Flow,7.9, (67K),1h 25m,Animation
3,4. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (3.4K),1h 31m,Animation
4,5. The Wild Robot,8.2, (157K),1h 42m,Animation
5,6. Solo Leveling: ReAwakening,8.9, (10K),2h 1m,Animation
6,7. The Lord of the Rings: The War of the Rohirrim,6.3, (29K),2h 14m,Animation
7,8. Despicable Me 4,6.2, (64K),1h 34m,Animation
8,9. Transformers One,7.6, (48K),1h 44m,Animation
9,10. Inside Out 2,7.5, (214K),1h 36m,Animation
10,11. IF,6.4, (57K),1h 44m,Animation
11,12. Memoir of a Snail,7.8, (16K),1h 35m,Animation
12,13. Attack on Titan the Movie: The Last Attack,9.2, (15K),2h 25m,Animation
13,14. Spellbound,5.6, (7K),1h 49m,Animation
14,15. Kung Fu Panda 4,6.3, (67K),1h 34m,Animation
15,16. Wallace & Gromit: Vengeance Most Fowl,7.5, (34K),1h 22m,Animation
16,17. Spermageddon,5.8, (724),1h 20m,Animation
17,18. Harold and the Purple Crayon,5.7, (8.1K),1h 30m,Animation
18,19. The Garfield Movie,5.7, (24K),1h 41m,Animation
19,20. Watchmen: Chapter I,7.0, (6.4K),1h 23m,Animation
20,21. Look Back,7.8, (14K),58m,Animation
21,22. Night of the Zoopocalypse,6.3, (380),1h 31m,Animation
22,23. Hitpig,5.1, (890),1h 26m,Animation
23,24. Piece by Piece,6.9, (5.2K),1h 33m,Animation
24,25. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Animation
25,26. Orion and the Dark,6.3, (17K),1h 33m,Animation
26,27. Watchmen: Chapter II,7.0, (2.9K),1h 30m,Animation
27,28. The Remarkable Life of Ibelin,8.2, (12K),1h 43m,Animation
28,29. Overlord: The Sacred Kingdom,7.0, (816),2h 15m,Animation
29,30. The Most Precious of Cargoes,7.1, (811),1h 21m,Animation
30,31. Thelma the Unicorn,5.7, (2.9K),1h 33m,Animation
31,32. Grand Theft Hamlet,6.9, (1.7K),1h 29m,Animation
32,33. Buffalo Kids,6.6, (660),1h 33m,Animation
33,34. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.4K),1h 33m,Animation
34,35. Noah's Ark,4.3, (636),1h 36m,Animation
35,36. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m,Animation
36,37. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m,Animation
37,38. A Sloth Story,5.6, (196),1h 30m,Animation
38,39. The Glassworker,7.4, (1.6K),1h 38m,Animation
39,40. The Colors Within,7.1, (894),1h 41m,Animation
40,41. My Hero Academia: You're Next,7.0, (2K),1h 50m,Animation
41,42. That Christmas,6.8, (17K),1h 31m,Animation
42,43. Ultraman: Rising,6.9, (6.3K),1h 57m,Animation
43,44. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.5K),1h 55m,Animation
44,45. The Tiger's Apprentice,5.7, (2.1K),1h 24m,Animation
45,46. Dan Da Dan: First Encounter,8.2, (2.6K),1h 23m,Animation
46,47. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.7, (1.1K),1h 30m,Animation
47,48. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,Animation
48,49. Limonov: The Ballad of Eddie,6.0, (761),2h 18m,Animation
49,50. 10 Lives,5.9, (1.9K),1h 28m,Animation
50,51. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.3K),1h 34m,Animation
51,52. Dragonkeeper,5.7, (1.6K),1h 38m,Animation
52,53. The Lost Tiger,7.8, (43),1h 30m,Animation
53,54. Frida,7.5, (1.5K),1h 27m,Animation
54,55. Mars,8.9, (20),1h 24m,Animation
55,56. Johnny Puff: Secret Mission,4.8, (442),1h 27m,Animation
56,57. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.4K),1h 44m,Animation
57,58. Crayon Shin-chan: Ora's Dinosaur Diary,6.5, (329),1h 46m,Animation
58,59. Haikyu!! The Dumpster Battle,7.7, (6.1K),1h 25m,Animation
59,60. The Night Before Christmas in Wonderland,6.3, (511),1h 20m,Animation
60,61. From Ground Zero,7.9, (514),1h 52m,Animation
61,62. Sanatorium Under the Sign of the Hourglass,5.4, (104),1h 15m,Animation
62,63. Dongeng Sang Kancil,6.8, (118),1h 39m,Animation
63,64. Exorcism Chronicles: The Beginning,7.3, (88),1h 25m,Animation
64,65. Ryan's World the Movie: Titan Universe Adventure,1.8, (676),1h 20m,Animation
65,66. 200% Wolf,5.9, (1.3K),1h 38m,Animation
66,67. Lesbian Space Princess,8.0, (107),1h 27m,Animation
67,68. Mononoke the Movie: The Phantom in the Rain,6.8, (1.2K),1h 29m,Animation
68,69. Given 3: To the Sea,9.0, (24),1h 20m,Animation
69,70. Savages,6.8, (305),1h 27m,Animation
70,71. Gracie and Pedro: Pets to the Rescue,5.1, (262),1h 27m,Animation
71,72. Blue Lock: Episode Nagi,6.6, (2.4K),1h 31m,Animation
72,73. Rebellious,6.0, (178),1h 34m,Animation
73,74. My Oni Girl,6.0, (1.7K),1h 52m,Animation
74,75. Storm Crashers,6.3, (554),1h 28m,Animation
75,76. Ghost Cat Anzu,6.5, (741),1h 37m,Animation
76,78. My Freaky Family,6.4, (393),1h 26m,Animation
77,79. Super-Charlie,5.8, (112),1h 20m,Animation
78,80. Diplodocus,6.4, (165),1h 30m,Animation
79,81. Little Emma,5.7, (104),1h 46m,Animation
80,82. Dalia y el Libro Rojo,6.4, (72),1h 47m,Animation
81,83. I Am What I Am 2,7.5, (195),2h 14m,Animation
82,84. Baki Hanma VS Kengan Ashura,5.7, (1.9K),1h 2m,Animation
83,85. White Snake: Afloat,6.9, (451),2h 13m,Animation
84,86. No Time to Spy: A Loud House Movie,6.4, (441),1h 21m,Animation
85,87. Big City Greens the Movie: Spacecation,6.2, (537),1h 23m,Animation
86,88. Panda Bear in Africa,5.5, (316),1h 24m,Animation
87,89. Living Large,7.7, (105),1h 20m,Animation
88,90. The Casagrandes Movie,5.6, (661),1h 29m,Animation
89,91. The Quintessential Quintuplets Specials 2,7.0, (119),46m,Animation
90,92. Boys Go to Jupiter,6.9, (92),1h 30m,Animation
91,94. Elli and the Ghostly Ghost Train,5.0, (94),1h 26m,Animation
92,95. Boonie Bears: Time Twist,6.0, (164),1h 45m,Animation
93,96. Mobile Suit Gundam SEED Freedom,6.6, (941),2h 4m,Animation
94,97. Shrek 5: The Contract - A Fan Made Film,7.0, (18),1h 24m,Animation
95,98. Movie Given Hiiragi Mix.,7.4, (151),1h 10m,Animation
96,99. Heartsping : Teenieping of Love,7.0, (23),TV-Y,Animation
97,100. Rock Bottom,7.0, (41),1h 26m,Animation
98,101. Sabbath Queen,8.0, (61),1h 45m,Animation
99,103. Hola Frida,7.3, (25),1h 22m,Animation
100,104. Niko: Beyond the Northern Lights,6.2, (319),1h 26m,Animation
101,105. Out of the Nest,7.3, (106),1h 24m,Animation
102,106. Bocchi the Rock! Re:,7.5, (152),1h 30m,Animation
103,107. Detective Conan: The Million-Dollar Pentagram,6.7, (1.4K),1h 51m,Animation
104,"108. Die Heinzels: Neue Mützen, Neue Mission",6.5, (76),1h 16m,Animation
105,109. Si Juki the Movie: Harta Pulau Monyet,6.0, (115),1h 47m,Animation
106,"110. Maya, donne-moi un titre",6.4, (48),1h 1m,Animation
107,111. Mustafa,6.9, (72),1h 15m,Animation
108,112. Zak & Wowo: The Legend of Lendarys,5.7, (92),1h 25m,Animation
109,113. Yumi's Cells: The Movie,6.2, (49),1h 33m,Animation
110,114. Luntik. Vozvrashchenie domoy,6.4, (74),TV-Y,Animation
111,115. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.9, (15),1h 30m,Animation
112,116. Slocum et moi,7.4, (69),1h 15m,Animation
113,117. Tri kota. Zimnie kanikuly,6.4, (28),1h 5m,Animation
114,118. Fox & Hare Save the Forest,5.9, (196),1h 11m,Animation
115,119. Dead Dead Demon's Dededede Destruction,7.0, (141),2h,Animation
116,120. Uma Musume: Pretty Derby - Beginning of a New Era,7.4, (111),1h 48m,Animation
117,121. Kvitebjørn,5.9, (54),1h 25m,Animation
118,122. PAPmusic - Animation for Fashion,1.0, (131),1h 25m,Animation
119,124. Peppa's Cinema Party,5.1, (153),1h 5m,Animation
120,125. Dragon Ball Z Kai,8.4, (67),1h 22m,Animation
121,126. Olivia & the Clouds,7.3, (46),1h 21m,Animation
122,127. Captain Avispa,5.8, (173),1h 36m,Animation
123,130. Fuuto PI: Portrait of Kamen Rider Skull,7.5, (36),1h 22m,Animation
124,131. Bocchi the Rock! Re: Re:,8.0, (94),1h 17m,Animation
125,"132. Robotia, the Movie",7.7, (25),1h 26m,Animation
126,134. Schirkoa: In Lies We Trust,5.6, (158),1h 43m,Animation
127,135. The Proud Princess,7.1, (106),1h 24m,Animation
128,136. Tay 2: Ebabil Takimi,5.3, (37),1h 18m,Animation
129,137. The Big Trip 3: Race Around the World,5.7, (55),1h 25m,Animation
130,138. Quo Vadis,6.6, (332),1h 30m,Animation
131,139. Fureru,6.4, (23),1h 47m,Animation
132,140. Kizumonogatari: Koyomi Vamp,7.0, (84),2h 24m,Animation
133,141. Nie Xiaoqian,6.4, (16),1h 52m,Animation
134,142. Masha i Medved v kino: Park chudes,7.6, (17),58m,Animation
135,143. Jon Vardar protiv Galaksijata,8.5, (66),1h 26m,Animation
136,144. Mariposas Negras,7.1, (48),1h 23m,Animation
137,145. The Storm,6.1, (138),1h 42m,Animation
138,146. Rafadan Tayfa: Kapadokya,6.6, (116),1h 24m,Animation
139,147. Transformers Prime: Galavatron's Revenge,3.0, (5),1h 44m,Animation
140,148. Goldbeak,4.9, (129),1h 34m,Animation
141,149. The Worlds Divide,8.0, (38),2h,Animation
142,150. Steal the Naughty List,6.5, (117),1h 30m,Animation
143,151. Angelo dans la forêt mystérieuse,6.0, (112),1h 21m,Animation
144,153. Le parfum d'Irak,8.1, (41),1h 35m,Animation
145,154. A Few Moments of Cheers,7.3, (25),1h 8m,Animation
146,155. Maxxie LaWow: Drag Super-shero,8.9, (55),1h 54m,Animation
147,158. Norbert,6.6, (11),1h 15m,Animation
148,159. Kuramerukagari,5.8, (80),1h 1m,Animation
149,160. Into the Mortal World,6.8, (143),1h 58m,Animation
150,161. SuperKlaus,4.3, (200),1h 28m,Animation
151,162. Tri bogatyrya. Ni dnya bez podviga,5.7, (63),1h 1m,Animation
152,164. Trapezium,6.4, (143),1h 42m,Animation
153,165. Benjamin Bat,8.1, (28),1h 15m,Animation
154,167. Rocky and Bullwinkle,9.1, (12),1h 40m,Animation
155,168. Il segreto di Liberato,7.3, (215),1h 30m,Animation
156,169. Inanimate Insanity II: The Movie,8.4, (227),1h 46m,Animation
157,170. Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4, (72),1h 10m,Animation
158,171. Abá e Sua Banda,7.9, (7),1h 24m,Animation
159,175. Transformers: 40th Anniversary Event,7.2, (28),1h 36m,Animation
160,176. Riki Rhino: The Bird Kingdom,4.8, (23),1h 49m,Animation
161,177. TWST: Things We Said Today,6.9, (43),1h 26m,Animation
162,178. Double Tuckerr,5.0, (1.2K),2h,Animation
163,179. Hello My Beautiful Creatures,6.8, (170),2h 22m,Animation
164,180. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.9, (31),1h 11m,Animation
165,181. Dikkie Dik en de Verdwenen Knuffel,7.2, (129),1h 2m,Animation
166,182. Pui Pui Molcar the Movie: Molmax,7.0, (7),1h 9m,Animation
167,"183. Silex and the City, le film",4.9, (50),1h 17m,Animation
168,185. Askepote,3.5, (80),1h 12m,Animation
169,186. Nothing Unusual,9.7, (12),1h 32m,Animation
170,191. The Umbrella Fairy,5.6, (49),1h 35m,Animation
171,192. Motu Patlu & The Race to the Diamond Valley,7.8, (27),1h 12m,Animation
172,194. Appu,8.6, (181),1h 32m,Animation
173,195. Uma & Haggen: Mitos,7.5, (46),1h 34m,Animation
174,197. Bob a Bobek ve filmu: Na stope Mrkvojeda,8.7, (18),1h 20m,Animation
175,198. Formula vody,4.5, (27),1h 26m,Animation
176,199. Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,7.0, (10),59m,Animation
