Unnamed: 0,Title,Rating,Votes,Duration,Genre
0,1. A Complete Unknown,7.4, (67K),2h 21m,Music
1,2. Better Man,7.6, (24K),2h 15m,Music
2,3. Maria,6.4, (19K),2h 4m,Music
3,4. Kneecap,7.6, (17K),1h 45m,Music
4,5. The Marching Band,7.4, (2.4K),1h 43m,Music
5,6. Descendants: The Rise of Red,4.7, (7K),1h 31m,Music
6,7. Back to Black,6.3, (26K),2h 2m,Music
7,8. This Is Me... Now,4.1, (7.1K),1h 5m,Music
8,9. Bob Marley: One Love,6.2, (34K),1h 47m,Music
9,10. Monsieur Aznavour,7.3, (2.3K),2h 13m,Music
10,11. Find Me Falling,6.3, (13K),1h 33m,Music
11,12. The Greatest Hits,6.2, (7.3K),1h 34m,Music
12,13. Soundtrack to a Coup d'Etat,7.7, (2.7K),2h 30m,Music
13,14. The Piano Lesson,6.2, (4.8K),2h 7m,Music
14,15. Standing on the Shoulders of Kitties,6.2, (518),1h 51m,Music
15,16. Midas Man,6.4, (1.5K),1h 52m,Music
16,17. Janis Ian: Breaking Silence,8.3, (48),1h 54m,Music
17,18. Pavements,7.0, (153),2h 8m,Music
18,19. Mogwai: If the Stars Had a Sound,7.5, (63),1h 32m,Music
19,20. The Colors Within,7.1, (894),1h 41m,Music
20,21. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.5K),1h 55m,Music
21,22. Stelios,7.3, (1.4K),2h 12m,Music
22,23. Nova & Alice,6.1, (278),1h 50m,Music
23,24. Yacht Rock: A Dockumentary,7.6, (1.8K),1h 35m,Music
24,25. Avicii - I'm Tim,7.8, (6.8K),1h 35m,Music
25,26. GHOST: Rite Here Rite Now,8.6, (2K),2h 25m,Music
26,28. Boléro,6.6, (758),2h,Music
27,29. Swamp Dogg Gets His Pool Painted,8.7, (46),1h 35m,Music
28,30. Amar Singh Chamkila,7.8, (16K),2h 25m,Music
29,31. The Greatest Night in Pop,7.9, (15K),1h 36m,Music
30,32. La Grande,8.9, (37),1h 35m,Music
31,33. Larger Than Life: Reign of the Boybands,6.8, (266),1h 35m,Music
32,34. Beatles '64,7.2, (2.5K),1h 46m,Music
33,35. Music by John Williams,8.2, (4.7K),1h 45m,Music
34,36. Música,6.4, (5K),1h 31m,Music
35,37. Given 3: To the Sea,9.0, (24),1h 20m,Music
36,38. Deaner '89,5.9, (416),1h 30m,Music
37,39. Elton John: Never Too Late,6.5, (1.9K),1h 42m,Music
38,40. Luther: Never Too Much,8.2, (811),1h 41m,Music
39,41. I Am: Celine Dion,7.7, (7.8K),1h 43m,Music
40,42. Don't Ever Stop,9.5, (24),1h 25m,Music
41,43. Gloria!,6.6, (971),1h 46m,Music
42,44. The Beach Boys,7.1, (2.1K),1h 53m,Music
43,45. ZEF: The Story of Die Antwoord,7.3, (781),1h 30m,Music
44,46. The Extraordinary Miss Flower,7.4, (20),1h 13m,Music
45,"47. Disco, Ibiza, Locomia",6.0, (1.5K),1h 44m,Music
